#VARNUM,VARNAM,VARUNIT,SHORTNAME,DOMAIN,PRECISION,DECIMALS,REPORTFORM,UNITCODE,ACTIVE,ALPHAVAR,CATEGORY1,CATEGORY2,SPARE1,SPARE2,DBVER24,DATECREATE,TIMECREATE,USERCREATE,DATEMOD,TIMEMOD,USERMOD
8,Cumulative rainfall (mm),mm,Cumulative rainfall,MET,0.1,1,LEVEL,MM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
9,Rainfall (pt),points,Rainfall (pt),MET,0.01,2,RAIN,PT,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
10,Rainfall (mm),mm,Rainfall (mm),MET,0.1,1,RAIN,MM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
14,Dry Day,days,Dry Day,OTH,0.0001,4,LEVEL,DAY,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
15,Wet/Dry,(ratio),Wet/Dry,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
16,Dry Day Flow (m3),m3,Dry Day Flow (m3),SW,0.00001,5,LEVEL,M3,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
20,Rainfall Intensity (mm/h),mm/hour,Rainfall Intensity (,MET,0.1,1,RATE,MMH,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
27,Envirogen code 827,,Envirogen code 827,OTH,0.001,3,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
50,Dummy variable for web transfers,units,Dummy varaible for w,MAN,0.001,3,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
51,Dummy variable for web transfers (DT5&6),mm,Dummy varaible for w,OTH,0.1,1,RAIN,MM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
85,WAWA Junk,mm,WAWA Junk,OTH,0.00001,5,LEVEL,MM,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
91,Status Check Yes=1 No=0,1,Status Check,OTH,1,0,LEVEL,SCAL,T,,,,,,F,,0,,27/08/2012,1648,PDOWLAND
92,Status Check Yes=1 No=0,1,Status Check,OTH,1,0,LEVEL,SCAL,T,,,,,,F,,0,,27/08/2012,1648,PDOWLAND
93,Status Check Yes=1 No=0,1,Status Check,OTH,1,0,LEVEL,SCAL,T,,,,,,F,,0,,27/08/2012,1648,PDOWLAND
94,Status Check Good=1 Poor=0,1,Status Check,OTH,1,0,LEVEL,SCAL,T,,,,,,F,,0,,27/08/2012,1649,PDOWLAND
95,Status Check Yes=1 No=0,1,Status Check,OTH,1,0,LEVEL,SCAL,T,,,,,,F,,0,,27/08/2012,1649,PDOWLAND
96,Status Check Yes=1 No=0,1,Status Check,OTH,1,0,LEVEL,SCAL,T,,,,,,F,,0,,27/08/2012,1649,PDOWLAND
97,Status Check Yes=1 No=0,1,Status Check,OTH,1,0,LEVEL,SCAL,T,,,,,,F,,0,,27/08/2012,1649,PDOWLAND
98,Status Check Yes=1 No=0,1,Status Check,OTH,1,0,LEVEL,SCAL,T,,,,,,F,,0,,27/08/2012,1649,PDOWLAND
99,Derived Stream Water Level (m),metres,Derived Stream Water,OTH,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
100,Stream Water Level (m),metres,Water Level (m),SW,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
101,Stream water level (mm),mm,Stream water level (,OTH,1,0,LEVEL,MM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
102,Depth over pressure sensor (m),metres,Depth over pressure,SW,0.0001,4,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
103,Temperature correction ECt to EC@25\176C,scalar,Temperature correcti,OTH,0.001,3,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
105,Water Surface Slope,(ratio),Water Surface Slope,SW,0.001,3,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
106,Stream Water Level Error (m),metres,Stream Water Level E,OTH,0.1,1,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
109,Stream Water Level (ft),feet,Stream Water Level,SW,0.001,3,LEVEL,FOOT,T,,,,,,F,,0,,27/03/2014,954,SPETCHEL
110,Bore Water Level from MP Data Trans7(m),metres,Bore WL (m)DT7,GW,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
111,Bore WL m below MP DataTrans1 Continuous,metres,Bore WL Below MP DT1,GW,0.001,3,LEVEL,M,T,,,,,,F,,0,,10/05/2012,1558,TMACMANU
112,Approx. Bore Water Elevation (mAHD),metres,Approx.Bore WL m AHD,OTH,0.001,3,LEVEL,M,T,,,,,,F,,0,,06/12/2011,1504,BDWORAKO
113,Bore WL Below Natural Surface DT7,metres,Bore WLBNS,GW,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
115,Bore Water Level AHD (m),metres,Bore Water Level AHD,GW,0.001,3,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
