#VARIABLE,SUBVAR,NAME,SHORTNAME,COMMENT,MAXIMUM,MINIMUM,ACCURACY,ELECCHARGE,MOLAREQUIV,CASREF,MEASMETHOD,MAPVAR,VARTRACE,CATEGORY1,CATEGORY2,DBVER22,DATECREATE,TIMECREATE,USERCREATE,DATEMOD,TIMEMOD,USERMOD
8,0,Cumulative Rainfall,Cum Rain (mm),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
9,0,Rainfall,Rainfall (points),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
10,0,Rainfall,Rainfall  (mm.),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
14,0,Dry Day,Dry Day (Days),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
15,0,Wet/Dry,Wet/Dry,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
16,0,Dry Day Flow,Dry Flow (CuM),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
20,0,Rainfall Intensity,Rainfall Intensity,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
51,0,Rainfall,Rainfall  (mm.),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
85,0,WAWA Junk,WAWA Junk,,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
99,0,Inflow/Infiltration Rate,II Flow (l/s),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
100,0,Stream Water Level,Level     (Metres),,400,-1.2,3,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
101,0,Uncorrected Water Level,Uncor.Lev. (Metres),,1,-0.00001,0,N,0,,APHA(2005)2130B; AS1006(1995); ASTM(2010)D3977-97; Hunter\044 H. M.\044 Standley\044 J. & Cowie\044 B. A. (1984),0,,,,F,01/03/2013,0,SPETCHEL,01/03/2013,1009,SPETCHEL
